kind,first_name,last_name,preferred_name,email,role,team,office,start_date,birthday,dob,end_date,retiring,manager_email,client_since,client_company,relationship_owner_email,address_line1,address_line2,town,postcode,deliver_to,opt_out,consent,status,leave_reason,leave_until,public_facts,private_notes,sign_as,preferred_signature,voice_sample,milestones
staff,Ben,Achebe,,ben-achebe@hartleycrane.co.uk,Management Accountant,Outsourcing,Leeds,2016-10-17,,1986-06-03,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,Runs the month-end close for twenty clients,,,,,
staff,Dev,Patel,,dev-patel@hartleycrane.co.uk,IT Manager,Operations,Manchester,2016-03-21,,1983-11-25,,,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,Dev,"Dev Patel, IT Manager",,
staff,Hannah,Quinn,,hannah-quinn@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2020-10-12,,1992-09-30,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,no,active,,,,,,,,
staff,Sophia,Wood,,sophia-wood@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2013-04-24,,2001-08-11,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Oscar,Larsson,,oscar-larsson@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2022-07-03,,1995-09-08,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Wei,Cox,,wei-cox@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2025-02-23,,1998-04-03,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Lily,Bell,,lily-bell@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2017-04-12,,1998-02-21,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,Has the tidiest desk in the building,,,,,
staff,Agnieszka,Hughes,,agnieszka-hughes@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2013-02-21,,1976-06-22,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Rhys,Price,,rhys-price@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2021-12-12,,1993-06-09,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,Runs the Wednesday walking group,,,,,
staff,Meera,Ward,,meera-ward@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2015-07-23,,1993-10-10,,,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Maryam,Harris,,maryam-harris@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2016-07-07,,1986-11-04,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Sophia,Novak,,sophia-novak@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2016-12-18,,1984-05-03,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,Has the tidiest desk in the building,,,,,
staff,Evie,Turner,,evie-turner@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2013-06-11,,1996-07-09,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Mia,Begum,,mia-begum@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2015-01-13,,1986-07-12,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,Mentors two of this year's graduates,,,,,
staff,Tariq,Harris,,tariq-harris@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2024-07-04,,1986-07-22,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,Recently completed the CIMA case study,,,,,
staff,Rohan,Jensen,,rohan-jensen@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2024-06-25,,1993-05-26,,,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Joel,Jensen,,joel-jensen@hartleycrane.co.uk,Advisory Analyst,Advisory,Manchester,2015-08-24,,1986-12-08,,,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Rhys,Ward,,rhys-ward@hartleycrane.co.uk,Advisory Analyst,Advisory,Manchester,2021-03-07,,1998-10-24,,,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Oliver,Okonkwo,,oliver-okonkwo@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2021-01-17,,1998-05-04,,,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,,active,,,Organises the office bake sale for Macmillan every autumn,,,,,
staff,Yusuf,Harris,,yusuf-harris@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2013-02-08,,1993-11-23,,,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Bethan,Moore,,bethan-moore@hartleycrane.co.uk,Advisory Analyst,Advisory,Manchester,2012-12-02,,1990-07-12,,,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,,active,,,Mentors two of this year's graduates,,,,,
staff,Rohan,Patel,,rohan-patel@hartleycrane.co.uk,Payroll Specialist,Outsourcing,Leeds,2020-10-22,,1979-03-10,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,Runs the Wednesday walking group,,,,,
staff,Harry,Price,,harry-price@hartleycrane.co.uk,Payroll Specialist,Outsourcing,Leeds,2013-01-04,,1990-02-21,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,Speaks fluent Polish and helps with the Kowalski group accounts,,,,,
staff,Ewan,Berg,,ewan-berg@hartleycrane.co.uk,Management Accountant,Outsourcing,Leeds,2019-01-01,,1993-05-12,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,Has the tidiest desk in the building,,,,,
staff,Evie,Baker,,evie-baker@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2015-07-27,,1996-04-15,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Harry,Kelly,,harry-kelly@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2018-10-24,,1986-05-12,,,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Agnieszka,Nowak,,agnieszka-nowak@hartleycrane.co.uk,People Advisor,Operations,Manchester,2024-12-11,,1966-03-06,,,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
staff,Omar,Walker,,omar-walker@hartleycrane.co.uk,People Advisor,Operations,Manchester,2018-12-11,,1995-09-08,,,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,,active,,,,,,,,
client,Alison,Reid,,alison.reid@bramleyholdings.co.uk,Finance Director,,,,,,,,,2016-10-02,Bramley Holdings,nadia-crane@hartleycrane.co.uk,Bramley House,22 Deansgate,Manchester,M3 4LQ,client-registered,,,active,,,Started with annual accounts in 2016 and moved to fully outsourced finance in 2022 | Alison has been the main contact throughout,Renewal conversation due in November; price sensitive,,,,
client,Harriet,Kettlewell,,harriet.kettlewell@kettlewellcoffeeroasters.co.uk,Founder,,,,,,,,,2020-03-16,Kettlewell Coffee Roasters,aisha-rahman@hartleycrane.co.uk,"Unit 4, Dean Clough Mills",,Halifax,HX3 5AX,client-registered,,,active,,,Grew from one roastery to three in six years | Aisha advised on the 2024 growth funding,,,,,2026-10-08:Opening of the third roastery in Harrogate
client,Yuki,Martin,,yuki.martin@fenwickmarineltd.co.uk,Financial Controller,,,,,,,,,2011-08-01,Fenwick Marine Ltd,nadia-crane@hartleycrane.co.uk,"Fenwick Marine Ltd, 70 The Crescent",,Chester,CH39 1JS,client-registered,,,active,,,Long-standing client,,,,,
client,Jack,Byrne,,jack.byrne@ashworthdentalgroup.co.uk,Financial Controller,,,,,,,,,2019-05-24,Ashworth Dental Group,nadia-crane@hartleycrane.co.uk,"Ashworth Dental Group, 6 Moor Lane",,Warrington,WA23 5TF,client-registered,,,active,,,,,,,,
client,Anjali,Costa,,anjali.costa@penninetimberframes.co.uk,Owner,,,,,,,,,2010-02-26,Pennine Timber Frames,mark-ellison@hartleycrane.co.uk,"Pennine Timber Frames, 56 Oak Drive",,Warrington,WA31 8KX,client-registered,,,active,,,,,,,,
client,Lily,Turner,,lily.turner@caldervalleybrewing.co.uk,Founder,,,,,,,,,2013-11-03,Calder Valley Brewing,mark-ellison@hartleycrane.co.uk,"Calder Valley Brewing, 19 Canal Street",,Sheffield,S38 9KK,client-registered,,,active,,,,,,,,
client,Rohan,Dubois,,rohan.dubois@ribbleprintworks.co.uk,Owner,,,,,,,,,2018-10-24,Ribble Print Works,aisha-rahman@hartleycrane.co.uk,"Ribble Print Works, 41 Victoria Road",,Sheffield,S37 5LX,client-registered,,,active,,,,,,,,
client,Rhys,Wood,,rhys.wood@marsdenveterinarypractice.co.uk,Operations Director,,,,,,,,,2019-05-25,Marsden Veterinary Practice,mark-ellison@hartleycrane.co.uk,"Marsden Veterinary Practice, 97 Mill Lane",,Manchester,M39 2GJ,client-registered,,,active,,,Long-standing client,,,,,
client,Rohan,Wright,,rohan.wright@northgateproperty.co.uk,Owner,,,,,,,,,2025-05-18,Northgate Property,aisha-rahman@hartleycrane.co.uk,"Northgate Property, 19 Oak Drive",,Warrington,WA7 2DO,client-registered,,,active,,,Long-standing client,,,,,
client,Grace,Harris,,grace.harris@aireengineering.co.uk,Founder,,,,,,,,,2013-09-03,Aire Engineering,mark-ellison@hartleycrane.co.uk,"Aire Engineering, 113 Moor Lane",,Bolton,BL15 3UY,client-registered,,,active,,,,,,,,
