kind,first_name,last_name,preferred_name,email,role,team,office,start_date,birthday,manager_email,client_since,client_company,relationship_owner_email,address_line1,address_line2,town,postcode,deliver_to,opt_out,status,leave_reason,leave_until,public_facts,private_notes,sign_as,preferred_signature,voice_sample,milestones
staff,Oliver,Grant,,oliver-grant@hartleycrane.co.uk,Advisory Manager,Advisory,Manchester,2019-01-14,04-11,aisha-rahman@hartleycrane.co.uk,,,,,,,,office,,active,,,,,Oli,"Oliver Grant, Advisory Manager",,
staff,Lucy,Pemberton,,lucy-pemberton@hartleycrane.co.uk,Outsourcing Manager,Outsourcing,Leeds,2017-08-28,09-12,mark-ellison@hartleycrane.co.uk,,,,,,,,office,,active,,,,,Lucy,"Lucy Pemberton, Outsourcing Manager",,
staff,Dev,Patel,,dev-patel@hartleycrane.co.uk,IT Manager,Operations,Manchester,2016-03-21,11-25,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,active,,,,,Dev,"Dev Patel, IT Manager",,
staff,Chloe,Bennett,,chloe-bennett@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2021-09-30,03-08,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Led the Northgate audit close in June | Runs the Thursday lunchtime 5k club | Qualified ACA in 2024,,,,,
staff,Daniel,Osei,,daniel-osei@hartleycrane.co.uk,Graduate Trainee,Tax,Manchester,2026-09-28,06-17,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,"Joining from Manchester Metropolitan, accounting and finance | Will sit with Helen's team on the third floor | Interviewed brilliantly on R&D tax credits",,,,,
staff,Marcus,Reid,,marcus-reid@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2023-09-04,09-29,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Passed his final ACA exams in July | Volunteers on the firm's Number Partners school scheme,,,,,
staff,Fatima,Hussain,,fatima-hussain@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2022-02-14,10-02,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Led the Calder Valley Brewing valuation this summer,,,,,
staff,Gary,Thompson,,gary-thompson@hartleycrane.co.uk,Office Coordinator,Operations,Leeds,2012-06-11,10-03,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,Organises the Leeds Friday fruit delivery | Ran the Leeds office move in 2023,,,,,
staff,Ian,Fletcher,,ian-fletcher@hartleycrane.co.uk,Systems Administrator,Operations,Manchester,2019-11-04,10-02,dev-patel@hartleycrane.co.uk,,,,,,,,office,true,active,,,,,,,,
staff,Sophie,Nkemelu,,sophie-nkemelu@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2024-01-08,09-30,lucy-pemberton@hartleycrane.co.uk,,,,,,,,home,,active,,,Works from home three days a week,,,,,
staff,Amy,Walsh,,amy-walsh@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2020-07-06,10-06,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,Ran the Making Tax Digital rollout for sole-trader clients,,,,,
staff,Kwame,Mensah,,kwame-mensah@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2024-09-02,10-08,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,Captain of the firm's five-a-side team,,,,,
staff,Laura,Kim,,laura-kim@hartleycrane.co.uk,Advisory Analyst,Advisory,Manchester,2025-01-13,10-09,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Rob,Sinclair,,rob-sinclair@hartleycrane.co.uk,Payroll Specialist,Outsourcing,Leeds,2018-10-14,10-11,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,Never once missed a payroll run in eight years,,,,,
staff,Emma,Clarke,,emma-clarke@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2025-10-07,02-02,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Joined from a Big Four graduate scheme | Took over the Ribble Print Works fieldwork in her first month,,,,,
staff,Jack,Harris,,jack-harris@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2018-08-04,04-24,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Rosie,Moreau,,rosie-moreau@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2025-12-28,07-20,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Piotr,Begum,,piotr-begum@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2022-04-13,11-09,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Evie,Quinn,,evie-quinn@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2013-02-20,04-09,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Evie,Berg,,evie-berg@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2015-06-05,09-10,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Chen,Wright,,chen-wright@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2021-08-03,02-21,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Ines,Rossi,,ines-rossi@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2019-12-07,10-18,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Alfie,Khan,,alfie-khan@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2017-04-16,03-23,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Has the tidiest desk in the building,,,,,
staff,Sophia,Hussain,,sophia-hussain@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2023-05-28,06-04,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Moved from the Leeds office to Manchester last year,,,,,
staff,Oliver,Cox,,oliver-cox@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2015-11-04,09-07,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Rosie,Hussain,,rosie-hussain@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2016-12-18,05-03,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Took the lead on the new timesheet system rollout,,,,,
staff,Rosie,Moore,,rosie-moore@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2014-05-04,09-25,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Rosie,Ali,,rosie-ali@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2026-02-18,03-11,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Jack,Wright,,jack-wright@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2019-06-04,06-16,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Organises the office bake sale for Macmillan every autumn,,,,,
staff,Yusuf,Patel,,yusuf-patel@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2020-02-16,02-17,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Anjali,Martin,,anjali-martin@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2024-06-25,09-22,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Fatima,Patel,,fatima-patel@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2026-03-08,06-07,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Chen,Reyes,,chen-reyes@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2020-09-06,11-08,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Has the tidiest desk in the building,,,,,
staff,Grace,Moore,,grace-moore@hartleycrane.co.uk,Audit Assistant Manager,Audit,Manchester,2024-06-01,09-18,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Led the client Christmas card project last December,,,,,
staff,Sean,Green,,sean-green@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2017-02-07,02-14,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Plays in a Sunday league football team,,,,,
staff,Lily,Ivanova,,lily-ivanova@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2014-04-26,10-28,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Jack,Novak,,jack-novak@hartleycrane.co.uk,Audit Associate,Audit,Manchester,2017-01-26,01-16,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Thomas,Khan,,thomas-khan@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2021-05-19,08-16,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Dylan,Ward,,dylan-ward@hartleycrane.co.uk,Audit Senior,Audit,Manchester,2015-04-08,07-15,sarah-lindqvist@hartleycrane.co.uk,,,,,,,,office,,active,,,Mentors two of this year's graduates,,,,,
staff,Mia,Hughes,,mia-hughes@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2013-09-09,10-20,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Ines,Hill,,ines-hill@hartleycrane.co.uk,Audit Senior,Audit,Leeds,2019-01-01,05-12,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,Speaks fluent Polish and helps with the Kowalski group accounts,,,,,
staff,Rosie,Cox,,rosie-cox@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2012-04-07,07-27,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,Led the client Christmas card project last December,,,,,
staff,Sean,Cox,,sean-cox@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2012-05-05,06-22,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Zara,Owen,,zara-owen@hartleycrane.co.uk,Audit Senior,Audit,Leeds,2024-09-04,10-18,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Layla,Quinn,,layla-quinn@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2015-12-26,01-19,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Kenji,Price,,kenji-price@hartleycrane.co.uk,Audit Senior,Audit,Leeds,2017-09-08,10-26,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,Plays in a Sunday league football team,,,,,
staff,Noah,Adeyemi,,noah-adeyemi@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2015-10-17,07-27,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,Moved from the Leeds office to Manchester last year,,,,,
staff,Bethan,Harris,,bethan-harris@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2017-09-16,05-24,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,Took the lead on the new timesheet system rollout,,,,,
staff,Isla,Mensah,,isla-mensah@hartleycrane.co.uk,Audit Senior,Audit,Leeds,2018-09-06,08-17,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Zara,Hughes,,zara-hughes@hartleycrane.co.uk,Audit Associate,Audit,Leeds,2025-12-25,06-27,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Agnieszka,Owen,,agnieszka-owen@hartleycrane.co.uk,Audit Senior,Audit,Leeds,2020-04-06,08-06,ben-achebe@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Noah,Reyes,,noah-reyes@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2014-11-26,12-12,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Piotr,Shah,,piotr-shah@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2019-07-22,11-19,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Poppy,Davies,,poppy-davies@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2019-06-26,08-21,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,Took the lead on the new timesheet system rollout,,,,,
staff,Sean,Evans,,sean-evans@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2026-01-23,01-27,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,Runs the Wednesday walking group,,,,,
staff,Thomas,Quinn,,thomas-quinn@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2012-05-28,05-18,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Chen,Cooper,,chen-cooper@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2014-03-04,07-01,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,Recently completed the CIMA case study,,,,,
staff,Rohan,Baker,,rohan-baker@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2013-12-18,05-07,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Omar,Adeyemi,,omar-adeyemi@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2019-09-25,05-08,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Piotr,Ali,,piotr-ali@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2013-03-03,11-07,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Jacob,Nowak,,jacob-nowak@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2019-02-21,04-18,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,Mentors two of this year's graduates,,,,,
staff,Ava,Mensah,,ava-mensah@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2017-05-23,04-04,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Charlie,Nguyen,,charlie-nguyen@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2023-08-19,10-28,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Bethan,Costa,,bethan-costa@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2022-04-18,09-22,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,Led the client Christmas card project last December,,,,,
staff,Bethan,Ahmed,,bethan-ahmed@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2018-11-02,12-08,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Maryam,Rossi,,maryam-rossi@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2018-09-06,02-07,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,Plays in a Sunday league football team,,,,,
staff,Poppy,Clarke,,poppy-clarke@hartleycrane.co.uk,Tax Assistant Manager,Tax,Manchester,2013-03-03,01-13,helen-marsh@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Maryam,Jones,,maryam-jones@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2019-05-12,03-15,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Charlie,Martin,,charlie-martin@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2018-09-13,09-15,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,Has the tidiest desk in the building,,,,,
staff,Rohan,Singh,,rohan-singh@hartleycrane.co.uk,Tax Senior,Tax,Manchester,2022-04-26,03-06,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Chen,Novak,,chen-novak@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2025-06-21,02-18,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Bethan,Morgan,,bethan-morgan@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2018-05-03,02-08,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Agnieszka,Harris,,agnieszka-harris@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2014-01-16,11-23,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,Moved from the Leeds office to Manchester last year,,,,,
staff,Rhys,Evans,,rhys-evans@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2025-07-02,04-17,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,Runs the Wednesday walking group,,,,,
staff,Hannah,Cox,,hannah-cox@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2025-02-13,12-28,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Isla,Byrne,,isla-byrne@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2013-05-20,04-07,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Carys,Nguyen,,carys-nguyen@hartleycrane.co.uk,Tax Associate,Tax,Manchester,2020-06-05,11-09,priya-shah@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Chen,Fischer,,chen-fischer@hartleycrane.co.uk,Advisory Analyst,Advisory,Manchester,2019-05-16,06-17,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Kenji,Wright,,kenji-wright@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2024-11-13,06-04,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Tariq,Jones,,tariq-jones@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2026-03-08,10-26,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Mia,Bell,,mia-bell@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2018-07-23,04-07,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Yuki,Rossi,,yuki-rossi@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2023-03-25,01-02,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Oscar,Byrne,,oscar-byrne@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2017-12-12,04-03,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Meera,Turner,,meera-turner@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2016-11-12,07-19,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Recently completed the CIMA case study,,,,,
staff,Maryam,Novak,,maryam-novak@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2019-04-10,12-16,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Ines,Hughes,,ines-hughes@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2012-10-21,07-06,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Moved from the Leeds office to Manchester last year,,,,,
staff,Thomas,Fischer,,thomas-fischer@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2025-11-24,09-22,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Took the lead on the new timesheet system rollout,,,,,
staff,Chen,Silva,,chen-silva@hartleycrane.co.uk,Advisory Analyst,Advisory,Manchester,2023-05-15,05-15,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Plays in a Sunday league football team,,,,,
staff,Noah,Shah,,noah-shah@hartleycrane.co.uk,Advisory Consultant,Advisory,Manchester,2013-01-05,01-28,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Alfie,Kim,,alfie-kim@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2017-06-15,11-10,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Runs the Wednesday walking group,,,,,
staff,Oscar,Ward,,oscar-ward@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2025-09-12,05-02,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Moved from the Leeds office to Manchester last year,,,,,
staff,Ewan,Singh,,ewan-singh@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2025-05-02,03-05,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Took the lead on the new timesheet system rollout,,,,,
staff,Chen,Nguyen,,chen-nguyen@hartleycrane.co.uk,Corporate Finance Executive,Advisory,Manchester,2026-06-17,08-13,oliver-grant@hartleycrane.co.uk,,,,,,,,office,,active,,,Speaks fluent Polish and helps with the Kowalski group accounts,,,,,
staff,Ciaran,Shah,,ciaran-shah@hartleycrane.co.uk,Management Accountant,Outsourcing,Leeds,2022-07-04,07-12,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Harry,Cox,,harry-cox@hartleycrane.co.uk,Management Accountant,Outsourcing,Leeds,2013-09-06,01-15,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,Runs the Wednesday walking group,,,,,
staff,Wei,Hussain,,wei-hussain@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2024-09-14,10-13,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Oliver,Clarke,,oliver-clarke@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2012-06-24,07-04,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Maryam,Moore,,maryam-moore@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2025-05-25,04-15,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Ciaran,Jensen,,ciaran-jensen@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2018-01-02,10-22,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,Organises the office bake sale for Macmillan every autumn,,,,,
staff,Thomas,Singh,,thomas-singh@hartleycrane.co.uk,Payroll Specialist,Outsourcing,Leeds,2023-11-07,03-02,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,Took the lead on the new timesheet system rollout,,,,,
staff,Freya,Byrne,,freya-byrne@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2024-04-15,02-10,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Rosie,Kowalski,,rosie-kowalski@hartleycrane.co.uk,Payroll Specialist,Outsourcing,Leeds,2016-06-01,04-17,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Ewan,Lee,,ewan-lee@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2020-01-25,12-23,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Ewan,Nguyen,,ewan-nguyen@hartleycrane.co.uk,Bookkeeper,Outsourcing,Leeds,2014-04-01,06-26,lucy-pemberton@hartleycrane.co.uk,,,,,,,,office,,active,,,Recently completed the CIMA case study,,,,,
staff,Harry,Jensen,,harry-jensen@hartleycrane.co.uk,People Advisor,Operations,Manchester,2020-09-15,02-22,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Amelia,Green,,amelia-green@hartleycrane.co.uk,People Advisor,Operations,Manchester,2021-02-07,01-19,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,active,,,Plays in a Sunday league football team,,,,,
staff,Isla,Owen,,isla-owen@hartleycrane.co.uk,Receptionist,Operations,Manchester,2017-03-15,06-04,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,active,,,Recently completed the CIMA case study,,,,,
staff,Carys,Cooper,,carys-cooper@hartleycrane.co.uk,Marketing Executive,Operations,Manchester,2018-02-05,05-22,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Ciaran,Ahmed,,ciaran-ahmed@hartleycrane.co.uk,Marketing Executive,Operations,Manchester,2018-02-12,07-13,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,active,,,,,,,,
staff,Niamh,Martin,,niamh-martin@hartleycrane.co.uk,Receptionist,Operations,Manchester,2017-02-11,06-12,rachel-okafor@hartleycrane.co.uk,,,,,,,,office,,active,,,Runs the Wednesday walking group,,,,,
client,Alison,Reid,,alison.reid@bramleyholdings.co.uk,Finance Director,,,,,,2016-10-02,Bramley Holdings,nadia-crane@hartleycrane.co.uk,Bramley House,22 Deansgate,Manchester,M3 4LQ,client-registered,,active,,,Started with annual accounts in 2016 and moved to fully outsourced finance in 2022 | Alison has been the main contact throughout,Renewal conversation due in November; price sensitive,,,,
